X	Y	NKNR	NKNAME
7.526097258	51.68060072	4311059	
7.617910735	51.66650609	4311061	
7.628912932	51.66809996	4311062	
7.635137806	51.66818613	4311063	
7.644153999	51.66434007	4311064	
7.640285996	51.66762542	4311065	
7.567197343	51.69790291	4311066	
7.620840001	51.68144684	4311069	
7.627157136	51.68184701	4311070	
7.604396495	51.64768332	4311071	
7.600844598	51.65835691	4311072	
7.598385681	51.66682168	4311073	
7.59725572	51.67158648	4311074	
7.607427022	51.6765456	4311075	
7.621720737	51.61722324	4311076	
7.629016008	51.61818655	4311077	
7.630101137	51.61280585	4311078	
7.642847829	51.61576536	4311079	
7.637445867	51.62163161	4311080	
7.64507551	51.66263717	4311081	
7.632212997	51.66111842	4311082	
7.618348609	51.61007246	4311083	
7.624795399	51.61090604	4311084	
7.704384717	51.67279261	4312004	
7.728704211	51.6803077	4312005	
7.777879474	51.68919307	4312006	
7.760740663	51.69084992	4312007	
7.731654825	51.69487292	4312008	
7.694406075	51.69812585	4312009	
7.699045493	51.69802824	4312010	
7.727240778	51.69838653	4312011	
7.829612536	51.69750709	4312013	
7.667493422	51.69580467	4312014	Hamm-Bockum/Werne
7.703915016	51.66898135	4312015	
7.677599395	51.60284066	4312016	
7.687236374	51.60097042	4312017	Kamener Kreuz
7.685516422	51.60993224	4312018	
7.67597128	51.62384026	4312019	
7.799342765	51.60631289	4312022	
7.829354175	51.60687569	4312023	
7.822896915	51.61846426	4312024	
7.819002882	51.62961126	4312025	
7.786560457	51.62617551	4312026	
7.741734466	51.63558926	4312028	
7.74233915	51.63823882	4312029	
7.732321348	51.63844807	4312030	
7.769608716	51.63688966	4312032	
7.800320112	51.63785349	4312034	
7.818388975	51.63882311	4312035	
7.826237068	51.65115167	4312036	
7.809376336	51.69060779	4312038	
7.766169839	51.65016895	4312039	
7.759147679	51.64689263	4312040	
7.757543934	51.6461848	4312041	
7.741122248	51.66154504	4312042	
7.672863118	51.65178376	4312043	
7.683514642	51.653109	4312044	Hamm/Bergkamen
7.701906039	51.65893234	4312045	
7.725461902	51.66187576	4312046	
7.768196591	51.66549478	4312049	
7.783717903	51.66552705	4312050	
7.789133478	51.66649628	4312051	
7.782942223	51.67244206	4312053	
7.800117039	51.67159282	4312054	
7.825363887	51.67241965	4312059	
7.821134632	51.67753859	4312061	
7.814935072	51.68317825	4312069	
7.796471747	51.60375398	4312070	
7.667579974	51.67724903	4312075	
7.789686813	51.61834691	4312079	
7.816438166	51.60618579	4312080	
7.817233979	51.672188	4312082	
7.810772185	51.68207198	4312085	
7.813798048	51.6793764	4312086	
7.817139859	51.67813644	4312089	
7.822070843	51.68156288	4312090	
7.816357598	51.68230185	4312091	
7.785119301	51.63838805	4312092	
7.668846243	51.6315976	4312093	
7.751656767	51.61070458	4312094	B̦nen
7.749785968	51.60853164	4312095	
7.741945893	51.60532317	4312096	
7.821840293	51.69477894	4312098	
7.691615047	51.67288939	4312099	
7.767750466	51.60691585	4312100	
7.798477154	51.65535949	4312101	
7.811623121	51.67227951	4312102	
7.824471163	51.65111872	4312103	
7.753777995	51.60764218	4312104	
7.779306284	51.67665433	4312106	
7.811669348	51.61497167	4312107	
7.791467096	51.61584363	4312108	
7.793535495	51.67879065	4312110	
7.732158817	51.66917577	4312111	
7.771807122	51.69677484	4312112	
7.751586057	51.64077917	4312117	
7.972429841	51.69351539	4313004	
7.969236311	51.69475306	4313005	Hamm-Uentrop
7.920820878	51.6216707	4313009	
7.851320313	51.61112276	4313011	
7.902202603	51.6013206	4313012	
7.901605971	51.60446982	4313013	
7.873122002	51.61366452	4313014	
7.847310533	51.62490174	4313016	Hamm
7.846609805	51.62876087	4313017	
7.865249022	51.62616357	4313020	
7.922806161	51.63768854	4313023	
7.92090147	51.63891171	4313024	
7.933658249	51.64784959	4313025	
7.886574837	51.64915784	4313026	
7.838688346	51.65424652	4313027	
7.842135368	51.68859814	4313034	
7.882974847	51.69772152	4313038	
7.950102637	51.69275882	4313041	
7.895173732	51.6669077	4313047	
7.949941039	51.69428554	4313049	
7.93957941	51.59898348	4313052	
7.935135644	51.59913868	4313053	
7.947935565	51.611048	4313054	
7.954779027	51.61592738	4313055	
7.969555879	51.61233785	4313056	
7.980567318	51.60516833	4313057	
7.934770752	51.6006756	4313058	
7.923857972	51.62121502	4313059	
7.94279198	51.63289424	4313061	
7.952489932	51.63633059	4313062	
7.959317266	51.62228246	4313063	
7.965920274	51.62273064	4313064	
7.979035043	51.62601328	4313065	
7.996591463	51.63207635	4313066	
7.998133646	51.63579866	4313067	
7.951699767	51.64416874	4313068	
7.964019782	51.64260445	4313069	
7.982802041	51.66499809	4313070	
7.847363322	51.68581166	4313073	
7.849266974	51.67128543	4313074	
7.848800442	51.67256092	4313075	
7.88274333	51.69000985	4313076	
7.873899453	51.66997829	4313077	
7.8550656	51.66407947	4313078	
7.848046352	51.62066827	4313079	
7.832678387	51.66579084	4313080	
7.941423331	51.67676175	4313081	
7.9679665	51.69510078	4313084	
7.884488873	51.6882328	4313085	
8.143674817	51.6635337	4314003	
8.141139126	51.66371835	4314004	
8.043741812	51.66342925	4314005	
8.027719456	51.66817089	4314007	
8.151745306	51.67389274	4314008	
8.031289839	51.59935902	4314009	
8.035744234	51.60106957	4314010	
8.046702426	51.60460211	4314011	
8.014854964	51.62227768	4314012	
8.024865709	51.62238609	4314013	
8.029365163	51.62141059	4314014	
8.031948933	51.61463646	4314015	
8.042400911	51.61008551	4314016	
8.047714125	51.62528273	4314018	
8.089679478	51.60494176	4314020	
8.079180258	51.62509608	4314021	
8.138482404	51.60109225	4314023	
8.121119663	51.61216093	4314024	
8.119643746	51.61499595	4314025	
8.103797322	51.61737816	4314026	
8.099824848	51.62965306	4314027	
8.098572808	51.63423093	4314028	
8.096058081	51.64168938	4314030	
8.10912994	51.64504263	4314031	
8.123475918	51.62936284	4314032	
8.165268303	51.62080436	4314033	
8.153697115	51.63500301	4314034	
8.032673058	51.65798172	4314035	
8.036602397	51.65560774	4314036	
8.053613405	51.65146398	4314037	
8.143970485	51.65661301	4314038	
8.143552141	51.65729877	4314039	
8.153587669	51.65580978	4314040	
8.155434277	51.65480194	4314041	
8.11331593	51.60153491	4314044	
8.034434344	51.66563503	4314049	
8.165628646	51.62022457	4314050	
8.149002667	51.66924839	4314051	
8.047116001	51.66142571	4314173	
8.24826752	51.66469914	4315003	
8.246388281	51.66467931	4315004	
8.2316567	51.66516371	4315005	
8.293118255	51.68280959	4315006	
8.295209625	51.68377382	4315007	
8.25058071	51.68342377	4315008	
8.227739519	51.68139948	4315009	
8.227616042	51.68322988	4315010	
8.17854863	51.68501712	4315011	
8.244691664	51.65520964	4315013	
8.248577864	51.65653402	4315014	
8.244674373	51.60771956	4315015	
8.244391741	51.61315395	4315016	
8.246726573	51.61336259	4315017	
8.254250509	51.61458456	4315018	
8.255937161	51.64112352	4315019	
8.255565218	51.64224057	4315020	
8.267569676	51.65481858	4315021	
8.284170874	51.60274299	4315022	
8.275439262	51.62829865	4315023	
8.275013762	51.62899475	4315024	
8.29806804	51.65352711	4315025	
8.308884544	51.65672118	4315026	
8.305385815	51.60686181	4315029	
8.307428851	51.61908414	4315030	
8.309323777	51.62249178	4315031	
8.323680641	51.64293291	4315032	
8.299925499	51.68373452	4315033	
8.217027046	51.59992038	4315034	
8.215351826	51.61174035	4315035	
8.222329536	51.62003276	4315036	
8.223469434	51.62099173	4315037	
8.236877891	51.65390076	4315041	
8.215691449	51.59948839	4315043	
8.17836092	51.60254372	4315044	
8.193505741	51.62013393	4315046	
8.197370984	51.62350647	4315047	
8.195363492	51.63305562	4315048	
8.19593434	51.63566118	4315049	
8.201619195	51.63634701	4315050	
8.2237553	51.63522219	4315051	
8.213668555	51.65223072	4315052	
8.213667612	51.65312396	4315053	
8.200294414	51.68132764	4315054	
8.200234906	51.6960531	4315055	
8.320313815	51.63852928	4315057	
8.310445305	51.60784522	4315058	
8.330448882	51.62096278	4315063	
8.33637488	51.61178887	4316001	
8.342416101	51.61259123	4316002	
8.334934132	51.61548637	4316004	
8.339133048	51.66166515	4316010	
8.398693882	51.62259818	4316012	
8.393577773	51.63508285	4316013	
